Emotion Lexemes,Emotion Family,Basic Emotions
abandons,abandonment,sadness
abandoners,abandonment,sadness
abandoned,abandonment,sadness
abandoner,abandonment,sadness
abandon,abandonment,sadness
abandonments,abandonment,sadness
abandoning,abandonment,sadness
abandonment,abandonment,sadness
abash,abashment,surprise
abashed,abashment,surprise
abashes,abashment,surprise
abashment's,abashment,surprise
abashedly,abashment,surprise
abashing,abashment,surprise
abashment,abashment,surprise
abhors,abhorrence,disgust
abhor,abhorrence,disgust
abhorring,abhorrence,disgust
abhorrent,abhorrence,disgust
abhorred,abhorrence,disgust
abhorrence,abhorrence,disgust
accept,acceptance,enjoyment
accepts,acceptance,enjoyment
accepting,acceptance,enjoyment
accepted,acceptance,enjoyment
acceptance,acceptance,enjoyment
accomplished,accomplishment,enjoyment
accomplish,accomplishment,enjoyment
accomplishing,accomplishment,enjoyment
accomplishes,accomplishment,enjoyment
accomplishments,accomplishment,enjoyment
accomplishment,accomplishment,enjoyment
admirably,admiration,enjoyment
admirable,admiration,enjoyment
admire,admiration,enjoyment
admiring,admiration,enjoyment
admired,admiration,enjoyment
admires,admiration,enjoyment
admiration,admiration,enjoyment
adore,adoration,enjoyment
adoring,adoration,enjoyment
adoringly,adoration,enjoyment
adored,adoration,enjoyment
adores,adoration,enjoyment
adoration,adoration,enjoyment
adventure,adventurousness,enjoyment
adventured,adventurousness,enjoyment
adventurous,adventurousness,enjoyment
adventures,adventurousness,enjoyment
adventuring,adventurousness,enjoyment
adventurously,adventurousness,enjoyment
adventurer,adventurousness,enjoyment
adventurousness,adventurousness,enjoyment
affections,affection,enjoyment
affectionately,affection,enjoyment
affectionate,affection,enjoyment
affection,affection,enjoyment
affronting,affronted,anger
affronts,affronted,anger
affront,affronted,anger
affronted,affronted,anger
afraid,afraid,fear
aggravated,aggravation,anger
aggravating,aggravation,anger
aggravator,aggravation,anger
aggravate,aggravation,anger
aggravators,aggravation,anger
aggravates,aggravation,anger
aggravation,aggravation,anger
aggressiveness,aggression,anger
aggressively,aggression,anger
aggressor,aggression,anger
aggressing,aggression,anger
aggressive,aggression,anger
aggresses,aggression,anger
aggressed,aggression,anger
aggression,aggression,anger
aghast,aghast,surprise
agony,agony,sadness
agonizing,agony,sadness
agonize,agony,sadness
agonies,agony,sadness
agonized,agony,sadness
agonizes,agony,sadness
agoraphobic,agoraphobia,fear
agoraphobia,agoraphobia,fear
agreeableness,agreeableness,enjoyment
agreeable,agreeableness,enjoyment
agreeably,agreeableness,enjoyment
alarm,alarm,fear
alarmingly,alarm,fear
alarming,alarm,fear
alarmed,alarm,fear
alarms,alarm,fear
alienating,alienation,sadness
alienated,alienation,sadness
alienness,alienation,sadness
alienate,alienation,sadness
alienates,alienation,sadness
alienation,alienation,sadness
amazed,amazement,surprise
amaze,amazement,surprise
amazes,amazement,surprise
amazingly,amazement,surprise
amazing,amazement,surprise
amazement,amazement,surprise
ambitiously,ambition,enjoyment
ambitioning,ambition,enjoyment
ambitious,ambition,enjoyment
ambitioned,ambition,enjoyment
ambitions,ambition,enjoyment
ambition,ambition,enjoyment
amorist,amorous,enjoyment
amorousnesses,amorous,enjoyment
amorists,amorous,enjoyment
amorously,amorous,enjoyment
amorousness,amorous,enjoyment
amorous,amorous,enjoyment
amped,amped,enjoyment
amping,amped,enjoyment
amp,amped,enjoyment
amped up,amped,enjoyment
amps,amped,enjoyment
amusement's,amusement,enjoyment
amusingly,amusement,enjoyment
amuse,amusement,enjoyment
amused,amusement,enjoyment
amusing,amusement,enjoyment
amuses,amusement,enjoyment
amusements,amusement,enjoyment
amusement,amusement,enjoyment
angrier,anger,anger
angry,anger,anger
angering,anger,anger
angers,anger,anger
angered,anger,anger
angriest,anger,anger
angrily,anger,anger
anger,anger,anger
anguish,anguish,sadness
anguishing,anguish,sadness
anguishes,anguish,sadness
anguished,anguish,sadness
animosities,animosity,anger
animosities',animosity,anger
animosity,animosity,anger
annoying,annoyance,anger
annoys,annoyance,anger
annoyingly,annoyance,anger
annoyances,annoyance,anger
annoy,annoyance,anger
annoyed,annoyance,anger
annoyance,annoyance,anger
antagonist,antagonism,anger
antagonizes,antagonism,anger
antagonism,antagonism,anger
antagonized,antagonism,anger
antagonistic,antagonism,anger
antagonizing,antagonism,anger
antagonize,antagonism,anger
antipathetic,antipathy,disgust
antipathetically,antipathy,disgust
antipathy,antipathy,disgust
anxiety,anxiousness,fear
anxieties,anxiousness,fear
anxious,anxiousness,fear
anxiousness,anxiousness,fear
anxiously,anxiousness,fear
appalls,appalled,disgust
appalling,appalled,disgust
appalled,appalled,disgust
appall,appalled,disgust
appeasing,appeasement,enjoyment
appeases,appeasement,enjoyment
appease,appeasement,enjoyment
appeased,appeasement,enjoyment
appeasement,appeasement,enjoyment
appreciators,appreciation,enjoyment
appreciator,appreciation,enjoyment
appreciated,appreciation,enjoyment
appreciate,appreciation,enjoyment
appreciable,appreciation,enjoyment
appreciates,appreciation,enjoyment
appreciating,appreciation,enjoyment
appreciably,appreciation,enjoyment
appreciation,appreciation,enjoyment
apprehensive,apprehension,fear
apprehensively,apprehension,fear
apprehension,apprehension,fear
argumentative,argumentativeness,anger
argumentatively,argumentativeness,anger
argumentativeness,argumentativeness,anger
shameful,ashamed,sadness
shames,ashamed,sadness
shamed,ashamed,sadness
ashamed,ashamed,sadness
shame,ashamed,sadness
shamefully,ashamed,sadness
shaming,ashamed,sadness
assuaged,assuagement,enjoyment
assuagements,assuagement,enjoyment
assuages,assuagement,enjoyment
assuaging,assuagement,enjoyment
assuage,assuagement,enjoyment
assuagement,assuagement,enjoyment
astonishment's,astonishment,surprise
astonishing,astonishment,surprise
astonished,astonishment,surprise
astonish,astonishment,surprise
astonishingly,astonishment,surprise
astonishes,astonishment,surprise
astonishment,astonishment,surprise
at ease,at ease,enjoyment
avarice,avariciousness,disgust
avaricious,avariciousness,disgust
avariciously,avariciousness,disgust
avariciousness,avariciousness,disgust
averse,aversion,disgust
averseness,aversion,disgust
aversely,aversion,disgust
aversions,aversion,disgust
aversion,aversion,disgust
awes,awe,surprise
awed,awe,surprise
awing,awe,surprise
awe,awe,surprise
baffling,bafflement,surprise
baffler,bafflement,surprise
baffle,bafflement,surprise
baffled,bafflement,surprise
bafflement,bafflement,surprise
bashfully,bashfulness,fear
bashful,bashfulness,fear
bashfulnesses,bashfulness,fear
bashfulness,bashfulness,fear
belligerent,belligerence,anger
belligerently,belligerence,anger
belligerents,belligerence,anger
belligerence,belligerence,anger
bereaved,bereavement,sadness
bereave,bereavement,sadness
bereaving,bereavement,sadness
bereaves,bereavement,sadness
bereavement,bereavement,sadness
bewildering,bewilderment,surprise
bewilder,bewilderment,surprise
bewilderingly,bewilderment,surprise
bewildered,bewilderment,surprise
bewilderment,bewilderment,surprise
bitternesses,bitterness,anger
bittering,bitterness,anger
bittered,bitterness,anger
bitterer,bitterness,anger
bitterly,bitterness,anger
bitter,bitterness,anger
bitterest,bitterness,anger
bitterness,bitterness,anger
bittersweetly,bittersweetness,sadness
bittersweet,bittersweetness,sadness
bittersweetness,bittersweetness,sadness
blamed,blame,anger
blameworthy,blame,anger
blaming,blame,anger
blames,blame,anger
blame,blame,anger
blamer,blame,anger
bleaks,bleakness,sadness
bleakly,bleakness,sadness
bleakest,bleakness,sadness
bleak,bleakness,sadness
bleaker,bleakness,sadness
bleaknesses,bleakness,sadness
bleakness,bleakness,sadness
blindsiding,blindsidedness,surprise
blindsided,blindsidedness,surprise
blissful,bliss,enjoyment
blissfulness,bliss,enjoyment
blissfully,bliss,enjoyment
bliss,bliss,enjoyment
bluing,blue,sadness
bluer,blue,sadness
blued,blue,sadness
bluest,blue,sadness
blues,blue,sadness
blue,blue,sadness
bravely,bravery,enjoyment
braver,bravery,enjoyment
brave,bravery,enjoyment
braveries,bravery,enjoyment
braveness,bravery,enjoyment
bravest,bravery,enjoyment
bravery,bravery,enjoyment
brokenhearted,brokenheartedness,sadness
brokenheartedly,brokenheartedness,sadness
brokenheartedness,brokenheartedness,sadness
bug,bugged,disgust
bugs,bugged,disgust
bugged,bugged,disgust
bugging,bugged,disgust
bum,bummed,sadness
bums,bummed,sadness
bummed out,bummed,sadness
bummed,bummed,sadness
bumming,bummed,sadness
calm,calm,enjoyment
calming,calm,enjoyment
calmed,calm,enjoyment
calmly,calm,enjoyment
calmness,calm,enjoyment
calms,calm,enjoyment
calmer,calm,enjoyment
calmest,calm,enjoyment
captivate,captivation,enjoyment
captivatingly,captivation,enjoyment
captivated,captivation,enjoyment
captivating,captivation,enjoyment
captivates,captivation,enjoyment
captivator,captivation,enjoyment
captivation,captivation,enjoyment
carefree,carefree,enjoyment
carefreeness,carefree,enjoyment
cared,caring,enjoyment
caring,caring,enjoyment
care,caring,enjoyment
